BCHM 3P01,Metabolic Biochemistry
BCHM 3P02,Protein Structure and Function
#BCHM 3P25,Wine Chemistry
*BCHM 4P03,Current Topics in Photobiology
#BCHM 4P06,Bioinformatics
*BCHM 4P08,Topics in Plant and Microbial Biotechnology
#BCHM 4P11,Theory of Techniques in Biochemistry and Molecular Biology
#BCHM 4P41,Human Molecular Genetics
#BCHM 4P67,Biophysical Techniques
BCHM 0N01,Work Placement 1
BCHM 0N02,Work Placement II
BCHM 0N03,Work Placement III
BCHM 0N04,Work Placement IV
BCHM 0N05,Work Placement V
BCHM 2C01,Co-op Reflective Learning and Integration I
BCHM 2C02,Co-op Reflective Learning and Integration II
BCHM 2C03,Co-op Reflective Learning and Integration III
BCHM 2C04,Co-op Reflective Learning and Integration IV
