week 1,,
Event,location,date
Opening Ceremony / Cérémonie d'ouverture,Eastlink Centre,2023.02.20-2023.02.23
Archery / Tir à l’arc,Eastlink Centre,2023.02.20-2023.02.25
Biathlon,Mark Arendz Provincial Ski Park at Brookvale - Nordic / Parc provincial de Ski Mark Arendz à Brookvale - Nordic,2023.02.19-2023.02.24
Biathlon,The Silver Fox Entertainment Complex,2023.02.19-2023.02.25
Freestyle Ski / Ski acrobatique,"Mark Arendz Provincial Ski Park at Brookvale - Alpine / Parc provincial de Ski Mark Arendz à Brookvale - Alpin, Crabbe Mountain",2023.02.20-2023.02.25
Gymnastics - Artistic / Gymnastique artistique,Norton Diamond Soccer Complex,2023.02.22-2023.02.23
Gymnastics - Trampoline / Gymnastique - trampoline,Norton Diamond Soccer Complex,2023.02.19-2023.02.25
Hockey - Male / Homme,"MacLauchlan Arena, Credit Union Place, Eastlink Centre, O'Leary Community Sports Centre, Tyne Valley and Area Events Centre / Centre d'événements communautaires Cavendish Farms",2023.02.20-2023.02.21
Judo,Eastlink Centre,2023.02.19-2023.02.25
Ringette / Ringuette,"Cavendish Farms Wellness Centre, MacLauchlan Arena, Pownal Sports Centre",2023.02.21-2023.02.25
Speed Skating - Long Track / Patinage en vitesse - Longue piste,Halifax Oval,2023.02.23-2023.02.24
Speed Skating - Short Track / Patinage en vitesse - Courte piste,North Rustico Canada Games Centre,2023.02.19-2023.02.25
Table Tennis / Tennis de table,Canada Games Multi Sport Dome at Credit Union Place / Dôme multisport des Jeux du Canada au Credit Union Place,2023.02.19-2023.02.24
Wheelchair Basketball / Basketball en fauteuil roulant,Chi-Wan Young Sports Centre,2023.02.20-2023.02.25
