Code,Duration,Section,Date,Starts,Ends,Location
ECON 1P91,D3,1,Apr. 13,19:00,22:00,SAKAI
ECON 1P91,D3,2,Apr. 13,19:00,22:00,SAKAI
ECON 1P92,D3,1,Apr. 23,14:00,17:00,WCIBDS
ECON 1P95,D3,1,Apr. 19,19:00,21:00,ONLINE
ECON 2P15,D3,1,Apr. 21,19:00,21:00,WCIBDS
ECON 2P19,D3,1,Apr. 19,9:00,12:00,WCDVIS
ECON 2P21,D3,1,Apr. 14,14:00,16:30,WCDVIS
ECON 2P22,D3,1,Apr. 26,14:00,17:00,WCIBDS
ECON 2P23,D3,1,Apr. 12,9:00,12:00,See notes
ECON 2P23,D3,2,Apr. 12,9:00,12:00,See notes
ECON 2P30,D3,1,Apr. 18,14:00,17:00,WCDVIS
ECON 2P42,D3,1,Apr. 13,19:00,21:00,WCIBDS
ECON 2P90,D3,1,Apr. 19,14:00,16:00,WCIBDS
ECON 2P91,D3,1,Apr. 14,14:00,16:00,WCIBDS
ECON 2P91,D3,2,Apr. 14,14:00,16:00,WCIBDS
ECON 3P01,D3,1,Apr. 12,9:00,12:00,WCDVIS
ECON 3P04,D3,1,Apr. 25,9:00,12:00,WCDVIS
ECON 3P10,D3,1,Apr. 26,19:00,21:00,WCIBDS
ECON 3P13,D3,1,Apr. 13,9:00,12:00,WCDVIS
ECON 3P15,D3,1,Apr. 12,19:00,22:00,WCDVIS
ECON 3P21,D3,1,Apr. 14,14:00,17:00,WCDVIS
ECON 3P22,D3,1,Apr. 23,9:00,12:00,WCDVIS
ECON 3P90,D3,1,Apr. 18,9:00,11:00,WCDVIS
ECON 3Q91,D3,1,Apr. 19,9:00,12:00,WCDVIS
ECON 4P06,D3,1,Apr. 22,9:00,12:00,WCIBDS
ECON 4P13,D3,1,Apr. 14,14:00,16:00,WCDVIS
ECON 4P14,D3,1,Apr. 18,14:00,17:00,WCIBDS
ECON 5P14,D3,1,Apr. 22,14:00,16:00,WCDVIS
